[2023-04-28 11:27:25.470][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:267] Add new key frame, id:37, matched size:1
[2023-04-28 11:27:25.692][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.6540813353313353 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:25.815][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5306818181818181 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:25.960][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.48641878954378953 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:25.980][218814][info][APAPProjectThread.cpp:Run:382] process pair<37,30> finished.
[2023-04-28 11:27:26.069][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.44150849150849153 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:26.201][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.43228334165834165 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:26.331][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:218] Add  pair<43,37>
[2023-04-28 11:27:26.331][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:267] Add new key frame, id:43, matched size:1
[2023-04-28 11:27:26.484][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.672874000999001 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:26.602][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.6414106726606726 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:26.691][218814][info][APAPProjectThread.cpp:Run:382] process pair<43,37> finished.
[2023-04-28 11:27:26.759][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.6267180735930736 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:26.905][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5968781218781218 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:27.044][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5774007242757243 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:27.190][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5454888861138861 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:27.304][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.4864323176823177 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:27.436][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.48757492507492506 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:27.562][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.44584478021978025 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:27.677][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.4102095820845821 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:27.788][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:218] Add  pair<54,43>
[2023-04-28 11:27:27.788][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:267] Add new key frame, id:54, matched size:1
[2023-04-28 11:27:27.956][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.6250999000999001 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:28.058][218814][info][APAPProjectThread.cpp:Run:382] process pair<54,43> finished.
[2023-04-28 11:27:28.102][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5627716033966034 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:28.234][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5739572927072927 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:28.372][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.533289627039627 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:28.482][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5024662837162838 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:28.594][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.46570616883116883 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:28.743][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:218] Add  pair<61,54>
[2023-04-28 11:27:28.743][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:267] Add new key frame, id:61, matched size:1
[2023-04-28 11:27:28.957][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.681171953046953 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:29.085][218814][info][APAPProjectThread.cpp:Run:382] process pair<61,54> finished.
[2023-04-28 11:27:29.128][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.6229822261072261 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:29.256][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5940850815850816 > dOverlapRatioWithLastKF0,ignore this frame
